Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"conv2d",2,2,3107122,1553561.0,800754,2306368,539835,269917.5,230559,309276,903991,451995.5,138709,765282,2080988,1040494.0,406847,1674141
"cuda",11,11,2240161963,203651087.5,23848,2239773963,55938,5085.3,640,31648,125776670,11434242.7,14659,125573941,0,0.0,0,0
"cudaDeviceSynchronize_v3020",2,2,7009,3504.5,3323,3686,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"flatten",1,1,35815,35815.0,35815,35815,0,0.0,0,0,35815,35815.0,35815,35815,0,0.0,0,0
"linear",3,3,836056,278685.3,140113,544897,32833,10944.3,8833,13632,678602,226200.7,128668,411203,361023,120341.0,8128,343775
"max_pool2d",2,2,592293,296146.5,213062,379231,7296,3648.0,2976,4320,575376,287688.0,205025,370351,0,0.0,0,0
"randn",1,1,479219,479219.0,479219,479219,0,0.0,0,0,479219,479219.0,479219,479219,0,0.0,0,0
"relu",4,4,818103,204525.8,176887,233409,9088,2272.0,1792,3072,785872,196468.0,169010,225652,0,0.0,0,0
"uniform_",10,10,617327,61732.7,4593,309503,0,0.0,0,0,617327,61732.7,4593,309503,0,0.0,0,0
