Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/",2,1,0,2685599,2685599.0,2685599,2685599,313596,313596.0,313596,313596,1135633,1135633.0,1135633,1135633,1674141,1674141.0,1674141,1674141
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/",2,1,0,2685599,2685599.0,2685599,2685599,313596,313596.0,313596,313596,1135633,1135633.0,1135633,1135633,1674141,1674141.0,1674141,1674141
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/",1,1,0,2306368,2306368.0,2306368,2306368,309276,309276.0,309276,309276,765282,765282.0,765282,765282,1674141,1674141.0,1674141,1674141
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/",2,1,0,1013816,1013816.0,1013816,1013816,233535,233535.0,233535,233535,343734,343734.0,343734,343734,406847,406847.0,406847,406847
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/",2,1,0,1013816,1013816.0,1013816,1013816,233535,233535.0,233535,233535,343734,343734.0,343734,343734,406847,406847.0,406847,406847
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/",1,1,0,800754,800754.0,800754,800754,230559,230559.0,230559,230559,138709,138709.0,138709,138709,406847,406847.0,406847,406847
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[3]/",1,1,0,544897,544897.0,544897,544897,13632,13632.0,13632,13632,411203,411203.0,411203,411203,343775,343775.0,343775,343775
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[3]/Linear::forward/",1,1,0,544897,544897.0,544897,544897,13632,13632.0,13632,13632,411203,411203.0,411203,411203,343775,343775.0,343775,343775
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[4]/",1,1,0,151046,151046.0,151046,151046,10368,10368.0,10368,10368,138731,138731.0,138731,138731,9120,9120.0,9120,9120
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[4]/Linear::forward/",1,1,0,151046,151046.0,151046,151046,10368,10368.0,10368,10368,138731,138731.0,138731,138731,9120,9120.0,9120,9120
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[5]/",1,1,0,140113,140113.0,140113,140113,8833,8833.0,8833,8833,128668,128668.0,128668,128668,8128,8128.0,8128,8128
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[5]/Linear::forward/",1,1,0,140113,140113.0,140113,140113,8833,8833.0,8833,8833,128668,128668.0,128668,128668,8128,8128.0,8128,8128
"/module/dummy_network::cuda/",10,0,0,2240089573,2240089573.0,2240089573,2240089573,24290,24290.0,24290,24290,125759244,125759244.0,125759244,125759244,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/",10,0,0,2240089573,2240089573.0,2240089573,2240089573,24290,24290.0,24290,24290,125759244,125759244.0,125759244,125759244,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/",10,0,0,2240089573,2240089573.0,2240089573,2240089573,24290,24290.0,24290,24290,125759244,125759244.0,125759244,125759244,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/",10,0,0,2240089573,2240089573.0,2240089573,2240089573,24290,24290.0,24290,24290,125759244,125759244.0,125759244,125759244,0,0.0,0,0
"_CompleteModel_",36,5,0,2246654907,2246654907.0,2246654907,2246654907,644990,644990.0,644990,644990,129852872,129852872.0,129852872,129852872,2442011,2442011.0,2442011,2442011
