Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/",2,1,0,2419441,2419441.0,2419441,2419441,133470,133470.0,133470,133470,1115881,1115881.0,1115881,1115881,1573021,1573021.0,1573021,1573021
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/",2,1,0,2419441,2419441.0,2419441,2419441,133470,133470.0,133470,133470,1115881,1115881.0,1115881,1115881,1573021,1573021.0,1573021,1573021
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/",1,1,0,2025930,2025930.0,2025930,2025930,130846,130846.0,130846,130846,731744,731744.0,731744,731744,1573021,1573021.0,1573021,1573021
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/",2,1,0,793693,793693.0,793693,793693,163105,163105.0,163105,163105,356333,356333.0,356333,356333,326654,326654.0,326654,326654
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/",2,1,0,793693,793693.0,793693,793693,163105,163105.0,163105,163105,356333,356333.0,356333,356333,326654,326654.0,326654,326654
"/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/",1,1,0,567072,567072.0,567072,567072,159681,159681.0,159681,159681,137821,137821.0,137821,137821,326654,326654.0,326654,326654
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[3]/",1,1,0,510884,510884.0,510884,510884,7264,7264.0,7264,7264,387626,387626.0,387626,387626,318751,318751.0,318751,318751
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[3]/Linear::forward/",1,1,0,510884,510884.0,510884,510884,7264,7264.0,7264,7264,387626,387626.0,387626,387626,318751,318751.0,318751,318751
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[4]/",1,1,0,158224,158224.0,158224,158224,5152,5152.0,5152,5152,141880,141880.0,141880,141880,14624,14624.0,14624,14624
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[4]/Linear::forward/",1,1,0,158224,158224.0,158224,158224,5152,5152.0,5152,5152,141880,141880.0,141880,141880,14624,14624.0,14624,14624
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[5]/",1,1,0,150769,150769.0,150769,150769,5312,5312.0,5312,5312,135388,135388.0,135388,135388,9824,9824.0,9824,9824
"/module/dummy_network::_call_impl/dummy_network::forward/Linear::_call_impl[5]/Linear::forward/",1,1,0,150769,150769.0,150769,150769,5312,5312.0,5312,5312,135388,135388.0,135388,135388,9824,9824.0,9824,9824
"/module/dummy_network::cuda/",10,0,0,2254028848,2254028848.0,2254028848,2254028848,24352,24352.0,24352,24352,123836538,123836538.0,123836538,123836538,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/",10,0,0,2254028848,2254028848.0,2254028848,2254028848,24352,24352.0,24352,24352,123836538,123836538.0,123836538,123836538,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/",10,0,0,2254028848,2254028848.0,2254028848,2254028848,24352,24352.0,24352,24352,123836538,123836538.0,123836538,123836538,0,0.0,0,0
"/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/",10,0,0,2254028848,2254028848.0,2254028848,2254028848,24352,24352.0,24352,24352,123836538,123836538.0,123836538,123836538,0,0.0,0,0
"_CompleteModel_",32,5,0,2258878205,2258878205.0,2258878205,2258878205,339839,339839.0,339839,339839,126772072,126772072.0,126772072,126772072,2242874,2242874.0,2242874,2242874
